time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,0.000000000000000000e+00,-3.834952076431363821e-04,1.490390207618474960e-02,-2.597836554050445557e-01,6.255064508877694607e-04,-2.368934292462654412e-05
2.000093460083007812e-03,9.587380191078409553e-05,3.834952076431363821e-04,3.819112107157707214e-02,2.382962520641740412e-05,6.255064508877694607e-04,-2.368934292462654412e-05
4.000663757324218750e-03,-4.793690095539204776e-05,0.000000000000000000e+00,6.584849674254655838e-03,-9.679660201072692871e-02,4.228297912050038576e-04,-2.133254893124103546e-04
6.000757217407226562e-03,-4.793690095539204776e-05,0.000000000000000000e+00,-2.757475897669792175e-02,-1.257925033569335938e-01,3.611609863582998514e-04,5.222670733928680420e-05
8.000850677490234375e-03,-1.917476038215681911e-04,0.000000000000000000e+00,-2.757475897669792175e-02,-1.257925033569335938e-01,3.611609863582998514e-04,5.222670733928680420e-05
1.000094413757324219e-02,-1.917476038215681911e-04,7.669904152862727642e-04,-2.390987053513526917e-02,2.254212945699691772e-01,1.380329835228621960e-03,5.291443318128585815e-02
1.201272010803222656e-02,-1.917476038215681911e-04,7.669904152862727642e-04,-2.390987053513526917e-02,2.254212945699691772e-01,5.352217238396406174e-03,7.826113700866699219e-02
1.401305198669433594e-02,-2.588592702522873878e-03,7.669904269278049469e-03,-4.447837769985198975e-01,1.893361926078796387e+00,5.352217238396406174e-03,7.826113700866699219e-02
1.601314544677734375e-02,-8.293083868920803070e-03,2.569417841732501984e-02,-1.233052730560302734e+00,5.097521781921386719e+00,6.630430463701486588e-03,8.131309598684310913e-02
1.814007759094238281e-02,-8.293083868920803070e-03,2.569417841732501984e-02,-1.233052730560302734e+00,5.097521781921386719e+00,7.086745928972959518e-03,8.174304664134979248e-02
2.014017105102539062e-02,-1.773665286600589752e-02,5.560680478811264038e-02,-2.269995212554931641e+00,9.154090881347656250e+00,7.086745928972959518e-03,8.174304664134979248e-02
2.214026451110839844e-02,-2.972087822854518890e-02,9.357283264398574829e-02,-3.210456132888793945e+00,1.226998996734619141e+01,1.068826112896203995e-02,7.816758751869201660e-02
2.414035797119140625e-02,-2.972087822854518890e-02,9.357283264398574829e-02,-3.210456132888793945e+00,1.226998996734619141e+01,1.546515803784132004e-02,6.752488762140274048e-02
2.614045143127441406e-02,-4.506068676710128784e-02,1.434272080659866333e-01,-4.215105533599853516e+00,1.599264430999755859e+01,1.546515803784132004e-02,6.752488762140274048e-02
2.814054489135742188e-02,-6.303702294826507568e-02,1.990340054035186768e-01,-5.147892951965332031e+00,1.805610847473144531e+01,2.183880656957626343e-02,5.468972772359848022e-02
3.014063835144042969e-02,-6.303702294826507568e-02,1.990340054035186768e-01,-5.147892951965332031e+00,1.805610847473144531e+01,2.183880656957626343e-02,5.468972772359848022e-02
3.214073181152343750e-02,-8.216384798288345337e-02,2.611602246761322021e-01,-5.762217998504638672e+00,2.001571464538574219e+01,2.658229321241378784e-02,4.187665879726409912e-02
3.414106369018554688e-02,-1.025849655270576477e-01,3.252039253711700439e-01,-6.291249275207519531e+00,2.083860015869140625e+01,3.272325545549392700e-02,2.699532918632030487e-02
3.614115715026855469e-02,-1.025849655270576477e-01,3.252039253711700439e-01,-6.291249275207519531e+00,2.083860015869140625e+01,3.846710920333862305e-02,1.369351334869861603e-02
3.814125061035156250e-02,-1.219035387039184570e-01,3.892476260662078857e-01,-6.382718086242675781e+00,2.104093170166015625e+01,3.846710920333862305e-02,1.369351334869861603e-02
