time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,2.173602819442749023e+00,-1.605694413185119629e+00,7.827188819646835327e-03,4.464600682258605957e-01,8.553636819124221802e-02,8.904963731765747070e-03
5.000829696655273438e-03,2.173698663711547852e+00,-1.606844902038574219e+00,2.439984492957592010e-02,-2.130175381898880005e-02,8.459920436143875122e-02,9.083655662834644318e-03
1.000142097473144531e-02,2.170630693435668945e+00,-1.603009939193725586e+00,-4.560423195362091064e-01,1.164243459701538086e+00,-5.760588683187961578e-04,-8.708742825547233224e-05
1.500248908996582031e-02,2.166939735412597656e+00,-1.603393435478210449e+00,-8.702378273010253906e-01,1.342024654150009155e-01,1.097324537113308907e-03,-6.415984244085848331e-04
2.000260353088378906e-02,2.155386924743652344e+00,-1.595340013504028320e+00,-1.763658523559570312e+00,1.091003894805908203e+00,2.217918226961046457e-04,-1.988770527532324195e-04
2.500295639038085938e-02,2.138369321823120117e+00,-1.584218740463256836e+00,-2.710073232650756836e+00,2.081254959106445312e+00,1.315761910518631339e-04,-2.018884260905906558e-04
3.000354766845703125e-02,2.127918958663940430e+00,-1.580383777618408203e+00,-3.168278694152832031e+00,1.500195503234863281e+00,1.926689437823370099e-04,-8.253361447714269161e-04
3.500437736511230469e-02,2.103135585784912109e+00,-1.566194415092468262e+00,-3.999536275863647461e+00,2.452029943466186523e+00,1.168286617030389607e-04,-4.803414631169289351e-04
4.000520706176757812e-02,2.088994264602661133e+00,-1.558907985687255859e+00,-4.892804622650146484e+00,2.527670621871948242e+00,1.505034277215600014e-03,-1.677138498052954674e-04
4.500555992126464844e-02,2.055390596389770508e+00,-1.541267275810241699e+00,-5.333006381988525391e+00,3.077568769454956055e+00,5.676304572261869907e-04,-1.573080429807305336e-03
8.186626434326171875e-02,1.737616777420043945e+00,-1.355655550956726074e+00,-1.158704471588134766e+01,8.412381172180175781e+00,-2.276371815241873264e-04,-7.146073621697723866e-04
8.693671226501464844e-02,1.663985729217529297e+00,-1.301582694053649902e+00,-1.213132286071777344e+01,9.602228164672851562e+00,4.189853207208216190e-04,-1.513910596258938313e-03
9.193754196166992188e-02,1.583595514297485352e+00,-1.237922549247741699e+00,-1.320548248291015625e+01,1.094001960754394531e+01,-1.049339625751599669e-04,-1.497280085459351540e-03
9.693813323974609375e-02,1.497404932975769043e+00,-1.161607027053833008e+00,-1.413126850128173828e+01,1.302169990539550781e+01,-1.313234520239348058e-06,-1.928983605466783047e-03
1.019382476806640625e-01,1.450906157493591309e+00,-1.120573043823242188e+00,-1.473327541351318359e+01,1.352321243286132812e+01,3.472882090136408806e-04,-2.026252215728163719e-03
1.069390773773193359e-01,1.353498339653015137e+00,-1.023165225982666016e+00,-1.603632354736328125e+01,1.649732398986816406e+01,-4.615401558112353086e-04,-1.410778844729065895e-03
1.119401454925537109e-01,1.250290274620056152e+00,-9.134855866432189941e-01,-1.708044624328613281e+01,1.856277847290039062e+01,7.960580842336639762e-05,-2.025372348725795746e-03
1.169402599334716797e-01,1.196648836135864258e+00,-8.513593673706054688e-01,-1.751179695129394531e+01,2.031879234313964844e+01,4.311168158892542124e-04,-1.433964818716049194e-03
1.219413280487060547e-01,1.082175493240356445e+00,-7.167525291442871094e-01,-1.881078147888183594e+01,2.296006965637207031e+01,4.008666146546602249e-04,-1.865419442765414715e-03
1.269416809082031250e-01,1.021295666694641113e+00,-6.427379846572875977e-01,-2.024061775207519531e+01,2.594017219543457031e+01,3.175298916175961494e-04,-2.261691726744174957e-03
1.319420337677001953e-01,8.947422504425048828e-01,-4.801360070705413818e-01,-2.076345062255859375e+01,2.718232727050781250e+01,1.702933688648045063e-03,-1.661067013628780842e-03
1.369423866271972656e-01,7.621967196464538574e-01,-3.002767562866210938e-01,-2.184489250183105469e+01,3.025372314453125000e+01,-7.750719087198376656e-04,-1.373454579152166843e-03
1.419429779052734375e-01,6.233714818954467773e-01,-1.058446764945983887e-01,-2.290269088745117188e+01,3.259470748901367188e+01,-4.667447938118129969e-04,-4.970076843164861202e-04
1.809234619140625000e-01,-2.831632792949676514e-01,9.913350939750671387e-01,-2.161333847045898438e+01,1.892580032348632812e+01,-8.347529219463467598e-04,2.243843395262956619e-03
1.859235763549804688e-01,-3.440431356430053711e-01,1.040422439575195312e+00,-2.111611366271972656e+01,1.679857444763183594e+01,-3.587870160117745399e-04,3.779328661039471626e-03
1.909239292144775391e-01,-4.648920595645904541e-01,1.121723532676696777e+00,-2.017891311645507812e+01,1.300339221954345703e+01,-3.847373882308602333e-04,2.406895626336336136e-03
1.959242820739746094e-01,-5.227998495101928711e-01,1.154704093933105469e+00,-1.924834251403808594e+01,8.679068565368652344e+00,-9.797678794711828232e-04,3.641857998445630074e-03
2.009243965148925781e-01,-6.336299777030944824e-01,1.202257513999938965e+00,-1.868494033813476562e+01,7.579569816589355469e+00,-4.301522567402571440e-04,3.561381250619888306e-03
2.059247493743896484e-01,-7.034740447998046875e-01,1.221815705299377441e+00,-1.722871589660644531e+01,2.495524168014526367e+00,-2.248504897579550743e-04,3.020986681804060936e-03
2.109255790710449219e-01,-8.015528917312622070e-01,1.230252623558044434e+00,-1.644271850585937500e+01,8.950313925743103027e-01,-6.558919994859024882e-05,2.389569766819477081e-03
2.159259319305419922e-01,-8.891336321830749512e-01,1.217980742454528809e+00,-1.486097908020019531e+01,-2.796858072280883789e+00,-4.354044212959706783e-04,2.176383743062615395e-03
2.209265232086181641e-01,-9.294965267181396484e-01,1.204174995422363281e+00,-1.331755542755126953e+01,-5.762004852294921875e+00,-9.053198482433799654e-06,2.136839320883154869e-03
2.259268760681152344e-01,-1.003031730651855469e+00,1.163141012191772461e+00,-1.250475215911865234e+01,-7.182356834411621094e+00,-8.262562332674860954e-04,1.448582625016570091e-03
2.309274673461914062e-01,-1.067027449607849121e+00,1.103315711021423340e+00,-1.094778633117675781e+01,-1.048006916046142578e+01,-1.082647475413978100e-03,2.352888230234384537e-03
2.359278202056884766e-01,-1.094399452209472656e+00,1.069184660911560059e+00,-9.115566253662109375e+00,-1.294145870208740234e+01,7.588894222863018513e-04,1.976405270397663116e-03
2.409286499023437500e-01,-1.142384290695190430e+00,9.848157167434692383e-01,-8.231825828552246094e+00,-1.462744903564453125e+01,1.937484485097229481e-04,2.261149929836392403e-03
2.459290027618408203e-01,-1.178432822227478027e+00,8.858739137649536133e-01,-6.410473346710205078e+00,-1.679998779296875000e+01,-2.464887802489101887e-04,2.347192494198679924e-03
2.509295940399169922e-01,-1.191855192184448242e+00,7.704418897628784180e-01,-4.315984725952148438e+00,-1.946792984008789062e+01,-2.870990720111876726e-04,1.363653806038200855e-03
2.559299468994140625e-01,-1.210694313049316406e+00,7.071651816368103027e-01,-3.459553718566894531e+00,-2.078628540039062500e+01,-3.283264522906392813e-04,1.357432105578482151e-03
2.609310150146484375e-01,-1.219275116920471191e+00,5.710243582725524902e-01,-1.736532449722290039e+00,-2.295256423950195312e+01,-1.471084251534193754e-04,1.336522749625146389e-03
2.808997631072998047e-01,-1.188020229339599609e+00,9.318933635950088501e-02,3.251081228256225586e+00,-2.817960929870605469e+01,-3.327647573314607143e-05,-7.860272307880222797e-04
2.859001159667968750e-01,-1.163908004760742188e+00,-7.823302596807479858e-02,3.808938503265380859e+00,-2.865535736083984375e+01,-2.893764176405966282e-04,1.757593359798192978e-03
2.909004688262939453e-01,-1.135912775993347168e+00,-2.511893510818481445e-01,4.494264602661132812e+00,-2.875244331359863281e+01,-3.520703176036477089e-04,6.607330869883298874e-04
2.959015369415283203e-01,-1.105233192443847656e+00,-4.195437431335449219e-01,5.012062072753906250e+00,-2.800039863586425781e+01,2.520952148188371211e-05,-1.113479374907910824e-03
3.009016513824462891e-01,-1.089893341064453125e+00,-5.008447170257568359e-01,5.075364112854003906e+00,-2.689147186279296875e+01,-9.920268348651006818e-05,-3.901312593370676041e-04
3.059022426605224609e-01,-1.057344198226928711e+00,-6.638302206993103027e-01,5.334257602691650391e+00,-2.632243347167968750e+01,5.097970715723931789e-04,2.596153062768280506e-04
3.109025955200195312e-01,-1.041381239891052246e+00,-7.432137131690979004e-01,5.363403320312500000e+00,-2.510447311401367188e+01,-1.037116890074685216e-04,-2.791935694403946400e-04
3.159029483795166016e-01,-1.008544445037841797e+00,-8.935438394546508789e-01,5.462472915649414062e+00,-2.541741180419921875e+01,-2.334186283405870199e-04,-2.045464934781193733e-03
3.209030628204345703e-01,-9.753242135047912598e-01,-1.037738084793090820e+00,5.519788265228271484e+00,-2.395616912841796875e+01,3.972479316871613264e-04,-2.090688562020659447e-03
3.259041309356689453e-01,-9.413848519325256348e-01,-1.177713751792907715e+00,5.641695022583007812e+00,-2.334787559509277344e+01,3.849575878120958805e-04,-1.175876241177320480e-03
3.309047222137451172e-01,-9.238879084587097168e-01,-1.245975971221923828e+00,5.749394416809082031e+00,-2.321387481689453125e+01,-1.227295888384105638e-05,-6.202587974257767200e-05
3.359775543212890625e-01,-8.875038027763366699e-01,-1.376747846603393555e+00,6.028346061706542969e+00,-2.150610160827636719e+01,3.079382295254617929e-04,-3.827513137366622686e-04
3.409786224365234375e-01,-8.493459820747375488e-01,-1.505602240562438965e+00,6.355071067810058594e+00,-2.101219749450683594e+01,-1.878819166449829936e-04,-7.388870581053197384e-04
3.459789752960205078e-01,-8.298357129096984863e-01,-1.569262385368347168e+00,6.468011856079101562e+00,-2.119005966186523438e+01,-6.493480177596211433e-04,4.153176269028335810e-04
3.509790897369384766e-01,-7.885140776634216309e-01,-1.693131327629089355e+00,6.782768726348876953e+00,-2.071278190612792969e+01,-8.866842836141586304e-05,-7.640628609806299210e-04
3.559794425964355469e-01,-7.442203760147094727e-01,-1.810864329338073730e+00,7.302244663238525391e+00,-1.942614364624023438e+01,1.608091115485876799e-04,-4.636617959477007389e-04
3.609795570373535156e-01,-7.206354141235351562e-01,-1.869539141654968262e+00,7.618799686431884766e+00,-1.944283294677734375e+01,-3.077078727073967457e-04,-1.188416150398552418e-03
3.659796714782714844e-01,-6.720274090766906738e-01,-1.984971165657043457e+00,8.000650405883789062e+00,-1.925908088684082031e+01,-3.513340489007532597e-04,-2.515893429517745972e-04
3.709797859191894531e-01,-6.184339523315429688e-01,-2.096184730529785156e+00,8.747788429260253906e+00,-1.838301467895507812e+01,2.115264651365578175e-04,-8.879961096681654453e-04
3.760924339294433594e-01,-5.904387831687927246e-01,-2.151791572570800781e+00,9.068665504455566406e+00,-1.852291297912597656e+01,-5.624773330055177212e-04,3.876774644595570862e-05
3.810925483703613281e-01,-5.321954488754272461e-01,-2.257252693176269531e+00,9.642738342285156250e+00,-1.745712280273437500e+01,-1.006413600407540798e-03,-2.848896547220647335e-04
3.860926628112792969e-01,-4.696378111839294434e-01,-2.361563444137573242e+00,1.020222854614257812e+01,-1.703508949279785156e+01,-2.201692550443112850e-04,-1.047682715579867363e-03
3.910927772521972656e-01,-4.361778497695922852e-01,-2.411417961120605469e+00,1.070541286468505859e+01,-1.651958847045898438e+01,-4.895434176432900131e-05,-4.804742056876420975e-04
3.960928916931152344e-01,-3.680595159530639648e-01,-2.510743141174316406e+00,1.129382038116455078e+01,-1.614914894104003906e+01,-6.052502067177556455e-05,-7.454309379681944847e-04
4.010930061340332031e-01,-2.970649898052215576e-01,-2.606616973876953125e+00,1.178926467895507812e+01,-1.574312305450439453e+01,-4.421529592946171761e-04,-1.038904592860490084e-04
4.060931205749511719e-01,-2.605849802494049072e-01,-2.652636289596557617e+00,1.198266410827636719e+01,-1.549386405944824219e+01,-1.331730891251936555e-04,-7.246080785989761353e-04
4.110932350158691406e-01,-1.827834099531173706e-01,-2.744675159454345703e+00,1.274807739257812500e+01,-1.521285247802734375e+01,3.941897011827677488e-04,-3.824385639745742083e-04
4.160933494567871094e-01,-1.041189506649971008e-01,-2.833262681961059570e+00,1.305930995941162109e+01,-1.479602909088134766e+01,-2.746998507063835859e-04,-1.299755531363189220e-03
4.210934638977050781e-01,-6.428338587284088135e-02,-2.875447034835815430e+00,1.318659782409667969e+01,-1.418690204620361328e+01,4.755419213324785233e-04,-1.119753578677773476e-03
4.260935783386230469e-01,1.543568167835474014e-02,-2.959048986434936523e+00,1.327549457550048828e+01,-1.374403572082519531e+01,1.917244298965670168e-05,-7.129895966500043869e-04
4.310936927795410156e-01,9.620936214923858643e-02,-3.041500568389892578e+00,1.338525485992431641e+01,-1.372577762603759766e+01,3.328250313643366098e-04,3.589327388908714056e-04
4.360938072204589844e-01,1.365722268819808960e-01,-3.082150936126708984e+00,1.330819225311279297e+01,-1.374435997009277344e+01,6.279498920775949955e-04,2.657149452716112137e-04
