time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,-1.150964975357055664e+00,-1.496398329734802246e+00,-9.172507561743259430e-03,-1.709585189819335938e-01,-1.039802879095077515e-01,-1.846001856029033661e-02
2.000331878662109375e-03,-1.150964975357055664e+00,-1.496398329734802246e+00,-1.482212916016578674e-02,-1.937275081872940063e-01,-1.048811748623847961e-01,-1.881572790443897247e-02
4.000902175903320312e-03,-1.150964975357055664e+00,-1.496398329734802246e+00,-1.482212916016578674e-02,-1.937275081872940063e-01,-1.048811748623847961e-01,-1.881572790443897247e-02
6.001234054565429688e-03,-1.149910330772399902e+00,-1.496398329734802246e+00,1.901098936796188354e-01,-1.179156303405761719e-01,2.151013759430497885e-04,6.210937863215804100e-05
8.001565933227539062e-03,-1.147321820259094238e+00,-1.497548818588256836e+00,5.338795781135559082e-01,-2.286716550588607788e-01,4.170846950728446245e-04,-2.121410798281431198e-04
1.000165939331054688e-02,-1.147321820259094238e+00,-1.497548818588256836e+00,5.338795781135559082e-01,-2.286716550588607788e-01,4.170846950728446245e-04,-2.121410798281431198e-04
1.200175285339355469e-02,-1.143534779548645020e+00,-1.499466300010681152e+00,9.384704232215881348e-01,-4.519322514533996582e-01,-1.902406220324337482e-04,-2.234569838037714362e-04
1.400208473205566406e-02,-1.138549327850341797e+00,-1.502150774002075195e+00,1.352437734603881836e+00,-9.238991141319274902e-01,-1.883846925920806825e-05,-7.919211930129677057e-05
1.600217819213867188e-02,-1.138549327850341797e+00,-1.502150774002075195e+00,1.352437734603881836e+00,-9.238991141319274902e-01,-1.883846925920806825e-05,-7.919211930129677057e-05
1.800227165222167969e-02,-1.132365465164184570e+00,-1.504451751708984375e+00,1.747128963470458984e+00,-8.457153439521789551e-01,5.071287159807980061e-05,-1.130810196627862751e-04
2.000260353088378906e-02,-1.124312043190002441e+00,-1.507903099060058594e+00,2.247632980346679688e+00,-1.094708561897277832e+00,-2.501667186152189970e-04,4.996858187951147556e-04
2.200317382812500000e-02,-1.124312043190002441e+00,-1.507903099060058594e+00,2.247632980346679688e+00,-1.094708561897277832e+00,-9.451074292883276939e-04,-3.708520671352744102e-04
2.400326728820800781e-02,-1.114916443824768066e+00,-1.511738061904907227e+00,2.708380699157714844e+00,-1.257461547851562500e+00,-9.451074292883276939e-04,-3.708520671352744102e-04
2.600359916687011719e-02,-1.104178547859191895e+00,-1.515189528465270996e+00,3.145756721496582031e+00,-1.186482667922973633e+00,-2.106643805745989084e-04,-1.068135952664306387e-05
2.800369262695312500e-02,-1.104178547859191895e+00,-1.515189528465270996e+00,3.145756721496582031e+00,-1.186482667922973633e+00,-2.106643805745989084e-04,-1.068135952664306387e-05
3.000426292419433594e-02,-1.092721700668334961e+00,-1.519407987594604492e+00,3.531560659408569336e+00,-1.341277837753295898e+00,-6.068638758733868599e-04,5.846140556968748569e-04
3.200435638427734375e-02,-1.079491019248962402e+00,-1.524776935577392578e+00,3.957619428634643555e+00,-1.912924528121948242e+00,1.373821869492530823e-04,-1.002776189125142992e-04
3.400444984436035156e-02,-1.079491019248962402e+00,-1.524776935577392578e+00,3.957619428634643555e+00,-1.912924528121948242e+00,1.373821869492530823e-04,-1.002776189125142992e-04
3.600454330444335938e-02,-1.064534783363342285e+00,-1.528995394706726074e+00,4.500290393829345703e+00,-1.693447947502136230e+00,-9.526184294372797012e-05,-4.244555311743170023e-04
3.800487518310546875e-02,-1.048236250877380371e+00,-1.533980846405029297e+00,4.953011512756347656e+00,-1.605424284934997559e+00,-2.706358827708754689e-05,2.369794237893074751e-04
4.000496864318847656e-02,-1.048236250877380371e+00,-1.533980846405029297e+00,4.953011512756347656e+00,-1.605424284934997559e+00,-2.706358827708754689e-05,2.369794237893074751e-04
4.200506210327148438e-02,-1.031458258628845215e+00,-1.538966298103332520e+00,5.330471515655517578e+00,-1.669080853462219238e+00,-6.898594438098371029e-04,-1.089104043785482645e-04
4.400539398193359375e-02,-1.013002634048461914e+00,-1.545102238655090332e+00,5.768942832946777344e+00,-2.115005970001220703e+00,-5.395037587732076645e-04,-2.378322096774354577e-04
4.600548744201660156e-02,-1.013002634048461914e+00,-1.545102238655090332e+00,5.768942832946777344e+00,-2.115005970001220703e+00,-5.395037587732076645e-04,-2.378322096774354577e-04
4.800558090209960938e-02,-9.933004975318908691e-01,-1.550854563713073730e+00,6.198624610900878906e+00,-2.160327672958374023e+00,-3.036098205484449863e-04,-1.160750107374042273e-04
5.000567436218261719e-02,-9.720165133476257324e-01,-1.556607007980346680e+00,6.675983428955078125e+00,-2.175544738769531250e+00,-3.292512265034019947e-04,-1.989904558286070824e-05
5.200576782226562500e-02,-9.720165133476257324e-01,-1.556607007980346680e+00,6.675983428955078125e+00,-2.175544738769531250e+00,-3.292512265034019947e-04,-1.989904558286070824e-05
5.400586128234863281e-02,-9.497258663177490234e-01,-1.561208963394165039e+00,7.000628948211669922e+00,-1.718730688095092773e+00,-2.842384219547966495e-06,-3.970386023866012692e-05
5.600595474243164062e-02,-9.268599748611450195e-01,-1.566194415092468262e+00,7.379734992980957031e+00,-1.688092112541198730e+00,4.066640030941925943e-05,3.636370820458978415e-04
5.800628662109375000e-02,-9.268599748611450195e-01,-1.566194415092468262e+00,7.379734992980957031e+00,-1.688092112541198730e+00,4.066640030941925943e-05,3.636370820458978415e-04
6.000661849975585938e-02,-9.018848538398742676e-01,-1.570412874221801758e+00,7.814556598663330078e+00,-1.445673108100891113e+00,-7.241226849146187305e-04,-3.915368579328060150e-04
6.200718879699707031e-02,-8.759509921073913574e-01,-1.574247837066650391e+00,8.178806304931640625e+00,-1.166433453559875488e+00,-3.644803655333817005e-04,2.496867382433265448e-04
6.400752067565917969e-02,-8.759509921073913574e-01,-1.574247837066650391e+00,8.178806304931640625e+00,-1.166433453559875488e+00,-3.644803655333817005e-04,2.496867382433265448e-04
6.600761413574218750e-02,-8.496815562248229980e-01,-1.576932311058044434e+00,8.565818786621093750e+00,-8.586105108261108398e-01,4.220761547912843525e-05,1.391827390762045979e-04
6.800794601440429688e-02,-8.212070465087890625e-01,-1.578849792480468750e+00,8.826997756958007812e+00,-5.687335133552551270e-01,1.233188049809541553e-05,-2.969508350361138582e-04
7.000803947448730469e-02,-8.212070465087890625e-01,-1.578849792480468750e+00,8.826997756958007812e+00,-5.687335133552551270e-01,1.233188049809541553e-05,-2.969508350361138582e-04
7.200813293457031250e-02,-7.939309477806091309e-01,-1.579616785049438477e+00,9.133293151855468750e+00,-2.490613013505935669e-01,2.418446383671835065e-04,-1.313016109634190798e-04
7.400822639465332031e-02,-7.655522823333740234e-01,-1.579616785049438477e+00,9.402770042419433594e+00,-1.360094398260116577e-01,-1.906711986521258950e-04,-2.231301477877423167e-04
7.600831985473632812e-02,-7.655522823333740234e-01,-1.579616785049438477e+00,9.402770042419433594e+00,-1.360094398260116577e-01,-1.906711986521258950e-04,-2.231301477877423167e-04
7.800889015197753906e-02,-7.362149357795715332e-01,-1.576165318489074707e+00,9.597996711730957031e+00,7.882195711135864258e-01,1.061749717337079346e-04,-3.029232320841401815e-04
8.000898361206054688e-02,-7.058229446411132812e-01,-1.573864340782165527e+00,9.888936996459960938e+00,7.005127668380737305e-01,-3.273263573646545410e-04,-2.647794899530708790e-04
8.200931549072265625e-02,-7.058229446411132812e-01,-1.573864340782165527e+00,9.888936996459960938e+00,7.005127668380737305e-01,-3.273263573646545410e-04,-2.647794899530708790e-04
8.400964736938476562e-02,-6.745201349258422852e-01,-1.568495392799377441e+00,1.009993934631347656e+01,1.389832735061645508e+00,9.185268572764471173e-05,-3.919353475794196129e-04
8.600974082946777344e-02,-6.431214809417724609e-01,-1.561208963394165039e+00,1.029971504211425781e+01,2.186154603958129883e+00,-1.614398061065003276e-04,-2.903456625062972307e-04
8.800983428955078125e-02,-6.431214809417724609e-01,-1.561208963394165039e+00,1.029971504211425781e+01,2.186154603958129883e+00,-1.614398061065003276e-04,-2.903456625062972307e-04
9.000992774963378906e-02,-6.110037565231323242e-01,-1.553155541419982910e+00,1.053670501708984375e+01,2.746922492980957031e+00,-2.357129415031522512e-04,-4.560158122330904007e-04
9.201025962829589844e-02,-5.788380503654479980e-01,-1.544718742370605469e+00,1.064549541473388672e+01,2.693328142166137695e+00,5.109723424538969994e-04,-2.300291671417653561e-04
9.401035308837890625e-02,-5.788380503654479980e-01,-1.544718742370605469e+00,1.064549541473388672e+01,2.693328142166137695e+00,5.109723424538969994e-04,-2.300291671417653561e-04
9.601068496704101562e-02,-5.455219149589538574e-01,-1.532063364982604980e+00,1.080208778381347656e+01,3.796530246734619141e+00,4.148371808696538210e-04,-4.198921960778534412e-04
9.801077842712402344e-02,-5.131165981292724609e-01,-1.519407987594604492e+00,1.090718460083007812e+01,4.100747585296630859e+00,-4.271621583029627800e-04,-5.797971389256417751e-04
1.000111103057861328e-01,-5.131165981292724609e-01,-1.519407987594604492e+00,1.090718460083007812e+01,4.100747585296630859e+00,-4.271621583029627800e-04,-5.797971389256417751e-04
1.020112037658691406e-01,-4.798963069915771484e-01,-1.502917766571044922e+00,1.100963783264160156e+01,5.255677223205566406e+00,-2.279153704876080155e-05,-6.074345437809824944e-04
1.040112972259521484e-01,-4.467719197273254395e-01,-1.486427426338195801e+00,1.104316806793212891e+01,5.361517429351806641e+00,-3.798871766775846481e-04,-5.380203365348279476e-04
1.060113906860351562e-01,-4.467719197273254395e-01,-1.486427426338195801e+00,1.104316806793212891e+01,5.361517429351806641e+00,-3.798871766775846481e-04,-5.380203365348279476e-04
1.080114841461181641e-01,-4.142706990242004395e-01,-1.464951634407043457e+00,1.092016887664794922e+01,6.765789508819580078e+00,-1.674753293627873063e-04,2.800817892421036959e-04
1.100115776062011719e-01,-3.813380599021911621e-01,-1.441941976547241211e+00,1.093035602569580078e+01,7.489787578582763672e+00,-2.335997305635828525e-05,-1.409333663104916923e-06
1.120116710662841797e-01,-3.813380599021911621e-01,-1.441941976547241211e+00,1.093035602569580078e+01,7.489787578582763672e+00,-2.335997305635828525e-05,-1.409333663104916923e-06
1.140117645263671875e-01,-3.487409651279449463e-01,-1.415097355842590332e+00,1.080235958099365234e+01,8.649628639221191406e+00,-2.517018874641507864e-04,-6.941608735360205173e-04
1.160118579864501953e-01,-3.159041702747344971e-01,-1.384417653083801270e+00,1.059324455261230469e+01,9.489346504211425781e+00,-9.545123612042516470e-05,2.293370343977585435e-04
1.180119514465332031e-01,-3.159041702747344971e-01,-1.384417653083801270e+00,1.059324455261230469e+01,9.489346504211425781e+00,-9.545123612042516470e-05,2.293370343977585435e-04
1.200122833251953125e-01,-2.860395014286041260e-01,-1.353354573249816895e+00,1.043131732940673828e+01,1.035388755798339844e+01,4.436615272425115108e-04,6.226278492249548435e-05
1.220123767852783203e-01,-2.564144730567932129e-01,-1.319990515708923340e+00,1.022092342376708984e+01,1.086456775665283203e+01,-3.885421610902994871e-04,-3.195935860276222229e-04
1.240124702453613281e-01,-2.564144730567932129e-01,-1.319990515708923340e+00,1.022092342376708984e+01,1.086456775665283203e+01,-3.885421610902994871e-04,-3.195935860276222229e-04
1.260125637054443359e-01,-2.267894744873046875e-01,-1.279723525047302246e+00,9.942757606506347656e+00,1.234317779541015625e+01,6.251849117688834667e-04,-1.359043671982362866e-04
1.280126571655273438e-01,-1.992257535457611084e-01,-1.237922549247741699e+00,9.634313583374023438e+00,1.373741817474365234e+01,-2.629717928357422352e-04,-6.824611919000744820e-04
1.300127506256103516e-01,-1.992257535457611084e-01,-1.237922549247741699e+00,9.634313583374023438e+00,1.373741817474365234e+01,-2.629717928357422352e-04,-6.824611919000744820e-04
1.320128440856933594e-01,-1.722852289676666260e-01,-1.194204092025756836e+00,9.297668457031250000e+00,1.413628673553466797e+01,4.341751046013087034e-04,-8.678354788571596146e-05
1.340129375457763672e-01,-1.466869115829467773e-01,-1.143582701683044434e+00,8.899894714355468750e+00,1.620809555053710938e+01,-6.700976518914103508e-04,-2.303254586877301335e-04
1.360130310058593750e-01,-1.466869115829467773e-01,-1.143582701683044434e+00,8.899894714355468750e+00,1.620809555053710938e+01,-6.700976518914103508e-04,-2.303254586877301335e-04
1.380131244659423828e-01,-1.227664053440093994e-01,-1.090660333633422852e+00,8.393451690673828125e+00,1.738844299316406250e+01,5.035751964896917343e-04,-7.457471801899373531e-04
1.400132179260253906e-01,-9.908557683229446411e-02,-1.032752633094787598e+00,7.974716663360595703e+00,1.863702011108398438e+01,-3.542946651577949524e-04,-4.502700467128306627e-04
