time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,9.587378008291125298e-05,0.000000000000000000e+00,2.911682054400444031e-02,1.397231370210647583e-01,1.773938711266964674e-04,3.232327580917626619e-04
3.937959671020507812e-03,-1.438106992281973362e-04,-3.834952076431363821e-04,-6.569945067167282104e-02,-1.642992347478866577e-01,-2.528092009015381336e-04,3.214682510588318110e-04
7.274150848388671875e-03,3.834952076431363821e-04,0.000000000000000000e+00,5.035312473773956299e-02,-5.332513898611068726e-02,-3.820121637545526028e-04,1.081988593796268106e-04
1.145529747009277344e-02,3.355583176016807556e-04,3.834952076431363821e-04,2.940936572849750519e-02,1.527129411697387695e-01,-2.104895102092996240e-04,-1.493271702202036977e-04
1.478862762451171875e-02,2.396845084149390459e-04,7.669903570786118507e-04,1.387100550346076488e-03,2.757237851619720459e-01,4.417525778990238905e-04,1.690098360995762050e-05
1.812195777893066406e-02,2.396845084149390459e-04,-3.834952076431363821e-04,-3.951469901949167252e-03,-1.944283545017242432e-01,-3.677318163681775331e-04,-3.096401051152497530e-04
2.145528793334960938e-02,2.396845084149390459e-04,1.533980830572545528e-03,-1.465231366455554962e-02,-1.621231734752655029e-01,2.244638308184221387e-04,-1.260504708625376225e-03
2.478885650634765625e-02,1.917476183734834194e-04,-3.834952076431363821e-04,-2.410544082522392273e-03,-3.284626007080078125e-01,3.252817987231537700e-05,-4.031699427287094295e-05
2.812218666076660156e-02,2.396845084149390459e-04,7.669903570786118507e-04,-2.943413099274039268e-03,3.292639255523681641e-01,-1.511543523520231247e-04,1.184740569442510605e-03
3.145551681518554688e-02,3.355583176016807556e-04,-3.834952076431363821e-04,1.756631396710872650e-02,-1.518698185682296753e-01,3.083536576014012098e-04,-1.283019664697349072e-03
3.478884696960449219e-02,2.876213984563946724e-04,-7.669904152862727642e-04,3.505301661789417267e-03,-2.922928035259246826e-01,2.846192219294607639e-04,1.068963436409831047e-03
3.812217712402343750e-02,2.876213984563946724e-04,-7.669904152862727642e-04,-2.269882970722392201e-04,-3.361515700817108154e-01,-2.840806264430284500e-04,-1.432224991731345654e-03
4.145550727844238281e-02,3.355583176016807556e-04,-3.834952076431363821e-04,3.033393993973731995e-02,5.111822485923767090e-01,-1.084775431081652641e-04,2.103744918713346124e-04
4.478883743286132812e-02,4.314320976845920086e-04,1.150485593825578690e-03,-3.351571410894393921e-02,5.735430493950843811e-02,-1.869097031885758042e-04,-1.882886426756158471e-04
4.812216758728027344e-02,1.438106992281973362e-04,3.834952076431363821e-04,-3.351571410894393921e-02,5.735430493950843811e-02,-1.768071815604344010e-04,8.277183951577171683e-05
5.145549774169921875e-02,9.587378008291125298e-05,3.834952076431363821e-04,-3.335585817694664001e-02,3.379442542791366577e-02,8.257995068561285734e-05,3.398662956897169352e-04
5.478882789611816406e-02,9.587378008291125298e-05,1.150485593825578690e-03,-9.931837208569049835e-03,2.552810907363891602e-01,-5.014505004510283470e-04,-1.123546971939504147e-03
5.812215805053710938e-02,1.917476183734834194e-04,-3.834952076431363821e-04,1.845687255263328552e-02,-4.507278800010681152e-01,7.214449578896164894e-05,1.191092596855014563e-04
6.145548820495605469e-02,1.438106992281973362e-04,7.669903570786118507e-04,4.294152371585369110e-03,1.567293852567672729e-01,2.744423727563116699e-05,-3.159845946356654167e-04
6.478881835937500000e-02,2.396845084149390459e-04,0.000000000000000000e+00,1.623243838548660278e-02,-9.700754284858703613e-02,-4.962238599546253681e-04,-3.927619254682213068e-04
6.812214851379394531e-02,2.876213984563946724e-04,-3.834952076431363821e-04,1.118114497512578964e-02,-1.791794896125793457e-01,5.607608181890100241e-05,1.458480372093617916e-03
7.145547866821289062e-02,2.876213984563946724e-04,-7.669904152862727642e-04,-2.671825233846902847e-03,-1.771395057439804077e-01,-3.625027893576771021e-04,-1.491263741627335548e-03
7.478880882263183594e-02,5.273059359751641750e-04,0.000000000000000000e+00,4.689857363700866699e-02,2.862541675567626953e-01,-1.927060948219150305e-04,1.718769344734027982e-04
7.812213897705078125e-02,3.834952076431363821e-04,-3.834952076431363821e-04,8.891016244888305664e-03,-2.862957492470741272e-02,-5.521246348507702351e-04,4.740972653962671757e-04
8.145546913146972656e-02,1.438106992281973362e-04,-7.669904152862727642e-04,-4.000422731041908264e-02,2.945029735565185547e-01,-4.121361416764557362e-04,5.876166596863185987e-06
8.478927612304687500e-02,-4.793691914528608322e-05,-3.834952076431363821e-04,-5.412961915135383606e-02,-1.885842680931091309e-01,-1.859816547948867083e-04,-2.541231806389987469e-04
8.812260627746582031e-02,0.000000000000000000e+00,3.834952076431363821e-04,-2.385859750211238861e-02,6.904465705156326294e-02,2.141856020898558199e-05,6.907250499352812767e-04
9.145593643188476562e-02,1.917476183734834194e-04,0.000000000000000000e+00,3.549065068364143372e-02,-4.033494368195533752e-02,2.117536496371030807e-04,2.556313120294362307e-04
9.478926658630371094e-02,-4.793691914528608322e-05,1.150485593825578690e-03,-1.190367713570594788e-02,2.919859290122985840e-01,-1.155530262622050941e-04,3.939268935937434435e-04
9.812259674072265625e-02,-1.438106992281973362e-04,-3.834952076431363821e-04,-2.699076570570468903e-02,-3.521892726421356201e-01,4.219628754071891308e-04,-6.215001922100782394e-04
1.014559268951416016e-01,-1.438106992281973362e-04,7.669903570786118507e-04,-2.429865114390850067e-02,2.228575497865676880e-01,-4.275648097973316908e-04,5.917002636124379933e-05
1.047892570495605469e-01,-1.917476183734834194e-04,7.669903570786118507e-04,-3.383057564496994019e-02,2.573878169059753418e-01,-1.037425390677526593e-04,-5.598730640485882759e-04
1.081225872039794922e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.957445591688156128e-02,-1.182285249233245850e-01,-3.914110857294872403e-05,-9.097394649870693684e-04
1.114559173583984375e-01,4.793691914528608322e-05,-3.834952076431363821e-04,1.957445591688156128e-02,-1.182285249233245850e-01,-1.519105717306956649e-04,-3.326107107568532228e-04
1.147892475128173828e-01,-9.587378008291125298e-05,-1.533980830572545528e-03,-2.187610790133476257e-02,-5.206288695335388184e-01,3.496764402370899916e-04,3.016987284354399890e-05
1.181225776672363281e-01,4.793691914528608322e-05,-7.669904152862727642e-04,1.103366445749998093e-02,-7.706172019243240356e-02,-3.729625314008444548e-04,3.812906797975301743e-04
1.214559078216552734e-01,-1.438106992281973362e-04,0.000000000000000000e+00,-3.393243253231048584e-02,2.167008072137832642e-01,-1.768306974554434419e-04,5.266933003440499306e-04
1.247892379760742188e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.682231720536947250e-03,2.169046103954315186e-01,3.446353075560182333e-04,1.020669355057179928e-03
1.281225681304931641e-01,-4.793691914528608322e-05,3.834952076431363821e-04,1.002625562250614166e-02,2.709501385688781738e-01,9.025612962432205677e-05,-8.080831612460315228e-04
1.314558982849121094e-01,-4.793691914528608322e-05,3.834952076431363821e-04,-2.850194275379180908e-02,5.474019050598144531e-01,2.536770189180970192e-04,-5.371520528569817543e-04
1.347892284393310547e-01,-4.793689586222171783e-04,0.000000000000000000e+00,-5.702736973762512207e-02,-5.242754146456718445e-02,1.514197356300428510e-04,-1.247570617124438286e-04
1.381225585937500000e-01,-2.396844793111085892e-04,0.000000000000000000e+00,9.303307160735130310e-03,-1.720668748021125793e-02,2.435439819237217307e-04,-3.478300059214234352e-04
1.414558887481689453e-01,-3.834952367469668388e-04,0.000000000000000000e+00,-2.325000241398811340e-02,-3.193228691816329956e-02,-7.565173291368409991e-05,-1.682390284258872271e-04
1.447892189025878906e-01,-2.876213984563946724e-04,-3.834952076431363821e-04,-1.969859469681978226e-03,-2.850124835968017578e-01,5.359364149626344442e-05,-3.820418787654489279e-04
1.481225490570068359e-01,-1.438106992281973362e-04,3.834952076431363821e-04,2.451955899596214294e-02,2.289538532495498657e-01,6.904093606863170862e-05,7.772618846502155066e-05
1.514558792114257812e-01,-1.438106992281973362e-04,3.834952076431363821e-04,5.992058198899030685e-03,3.213464617729187012e-01,5.112292128615081310e-04,1.970868033822625875e-04
1.547892093658447266e-01,-4.793691914528608322e-05,0.000000000000000000e+00,2.096210233867168427e-02,8.077489584684371948e-02,1.892899599624797702e-04,7.702814182266592979e-04
1.581225395202636719e-01,-4.793691914528608322e-05,0.000000000000000000e+00,1.378348190337419510e-02,1.107149943709373474e-01,-2.116640825988724828e-05,-3.870251530315726995e-04
1.614558696746826172e-01,-2.876213984563946724e-04,0.000000000000000000e+00,-4.638949036598205566e-02,1.802982985973358154e-01,1.762337633408606052e-04,-5.387400160543620586e-04
1.647891998291015625e-01,-4.793691914528608322e-05,3.834952076431363821e-04,8.394195698201656342e-03,3.824406564235687256e-01,3.018662682734429836e-04,2.429929008940234780e-05
1.681225299835205078e-01,-4.793691914528608322e-05,0.000000000000000000e+00,8.717549033463001251e-03,1.060607954859733582e-01,-2.177493297494947910e-04,-6.407234468497335911e-04
1.714558601379394531e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.020972780883312225e-02,8.159534633159637451e-02,-5.547767432290129364e-05,-3.355793305672705173e-04
1.747891902923583984e-01,-1.917476183734834194e-04,0.000000000000000000e+00,-2.434959635138511658e-02,1.089303791522979736e-01,-6.007040501572191715e-04,-5.067710299044847488e-04
1.781225204467773438e-01,-1.917476183734834194e-04,-3.834952076431363821e-04,-2.620460465550422668e-02,-3.747940063476562500e-02,4.298329295124858618e-04,5.189991497900336981e-05
1.814558506011962891e-01,-2.876213984563946724e-04,3.834952076431363821e-04,8.542690193280577660e-04,-1.627666652202606201e-01,-1.154088749899528921e-04,3.445300972089171410e-04
1.847891807556152344e-01,-4.793691914528608322e-05,3.834952076431363821e-04,-5.113854072988033295e-03,2.306894510984420776e-01,3.225457912776619196e-04,-1.422858185833320022e-04
1.881225109100341797e-01,0.000000000000000000e+00,-3.834952076431363821e-04,-3.098276210948824883e-04,-1.348674297332763672e-01,3.970721154473721981e-04,-1.240789606526959687e-05
1.914558410644531250e-01,-4.793691914528608322e-05,-7.669904152862727642e-04,-1.980919763445854187e-02,-3.569284379482269287e-01,4.974888288415968418e-04,-3.025293699465692043e-04
1.947891712188720703e-01,2.876213984563946724e-04,-3.834952076431363821e-04,5.663457512855529785e-02,-1.931601911783218384e-01,-2.205115451943129301e-04,-4.739960422739386559e-04
1.981225013732910156e-01,4.793691914528608322e-05,3.834952076431363821e-04,-7.897014729678630829e-03,2.362331598997116089e-01,5.626216079690493643e-05,6.463328609243035316e-04
2.014558315277099609e-01,4.793691914528608322e-05,-7.669904152862727642e-04,-1.253534574061632156e-02,-2.549477815628051758e-01,-5.853664479218423367e-04,-2.826871932484209538e-04
2.047894001007080078e-01,-2.396844793111085892e-04,0.000000000000000000e+00,-8.610156178474426270e-02,1.686476022005081177e-01,-3.474379991530440748e-05,-5.478778039105236530e-04
2.081227302551269531e-01,4.314320976845920086e-04,3.834952076431363821e-04,7.427880913019180298e-02,1.983758360147476196e-01,-5.960091584711335599e-05,7.116939523257315159e-04
2.114560604095458984e-01,4.314320976845920086e-04,-7.669904152862727642e-04,-5.610195803456008434e-04,-7.236365694552659988e-03,3.581196360755711794e-04,-7.893744041211903095e-04
2.147893905639648438e-01,9.587378008291125298e-05,0.000000000000000000e+00,-1.544726360589265823e-02,2.516945824027061462e-02,5.674859276041388512e-04,-7.169176824390888214e-04
2.181227207183837891e-01,2.396845084149390459e-04,3.834952076431363821e-04,1.346058398485183716e-02,2.399003952741622925e-01,-1.047460362315177917e-03,-6.490074447356164455e-04
2.214562892913818359e-01,2.396845084149390459e-04,-3.834952076431363821e-04,2.787661040201783180e-03,-1.562505513429641724e-01,-6.629246054217219353e-04,3.622442891355603933e-04
2.247896194458007812e-01,1.438106992281973362e-04,-3.834952076431363821e-04,-2.605948410928249359e-02,-2.033682167530059814e-02,2.115338793373666704e-05,-4.627486050594598055e-04
2.281229496002197266e-01,3.834952076431363821e-04,3.834952076431363821e-04,2.695185504853725433e-02,2.162265628576278687e-01,4.808530502486974001e-04,-6.020102300681173801e-04
2.314562797546386719e-01,3.355583176016807556e-04,0.000000000000000000e+00,1.210292708128690720e-02,9.032289497554302216e-03,-1.639238907955586910e-04,4.418902390170842409e-04
2.347896099090576172e-01,1.917476183734834194e-04,-7.669904152862727642e-04,-2.395889535546302795e-02,-2.937120795249938965e-01,-1.098912434827070683e-05,-5.867790605407208204e-05
2.381229400634765625e-01,2.876213984563946724e-04,0.000000000000000000e+00,3.226583590731024742e-03,5.298310518264770508e-02,1.145724454545415938e-04,-3.959322566515766084e-05
2.414562702178955078e-01,2.396845084149390459e-04,-7.669904152862727642e-04,-2.683566510677337646e-02,-1.829664558172225952e-01,-5.943183350609615445e-05,7.394487038254737854e-04
2.447896003723144531e-01,1.438106992281973362e-04,0.000000000000000000e+00,-1.966203376650810242e-02,2.789124846458435059e-02,-8.483702549710869789e-05,4.603817069437354803e-04
