time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.438106992281973362e-04,-7.669904152862727642e-04,-6.303921341896057129e-03,-5.112391710281372070e-02,3.748410963453352451e-04,2.873966004699468613e-04
2.000093460083007812e-03,1.438106992281973362e-04,-1.150485593825578690e-03,-6.303921341896057129e-03,-5.112391710281372070e-02,3.748410963453352451e-04,2.873966004699468613e-04
4.000425338745117188e-03,1.438106992281973362e-04,-3.834952076431363821e-04,-8.599086664617061615e-03,2.738290131092071533e-01,-9.120851609623059630e-05,2.489477265044115484e-05
6.000757217407226562e-03,1.438106992281973362e-04,-3.834952076431363821e-04,6.442895159125328064e-03,-1.121227964758872986e-01,2.082390419673174620e-04,-3.431120421737432480e-05
8.001089096069335938e-03,1.917476038215681911e-04,-1.150485593825578690e-03,6.442895159125328064e-03,-1.121227964758872986e-01,2.082390419673174620e-04,-3.431120421737432480e-05
1.000142097473144531e-02,2.396845084149390459e-04,-7.669904152862727642e-04,2.079527080059051514e-02,-3.812289610505104065e-02,-5.641761890728957951e-05,5.099035115563310683e-05
1.200151443481445312e-02,2.396845084149390459e-04,-7.669904152862727642e-04,1.760477782227098942e-03,8.916684985160827637e-02,7.932162407087162137e-05,1.145893358625471592e-03
1.400160789489746094e-02,1.438106992281973362e-04,-7.669904152862727642e-04,1.760477782227098942e-03,8.916684985160827637e-02,7.932162407087162137e-05,1.145893358625471592e-03
1.600170135498046875e-02,9.587380191078409553e-05,-1.150485593825578690e-03,-4.636973608285188675e-03,-1.446717046201229095e-02,2.324746455997228622e-04,2.641169121488928795e-03
1.800179481506347656e-02,9.587380191078409553e-05,-1.150485593825578690e-03,-1.070395112037658691e-02,-6.632676720619201660e-02,1.153460980276577175e-04,2.479324815794825554e-03
2.000188827514648438e-02,0.000000000000000000e+00,-7.669904152862727642e-04,-1.070395112037658691e-02,-6.632676720619201660e-02,1.153460980276577175e-04,2.479324815794825554e-03
2.200198173522949219e-02,-6.231797160580754280e-04,0.000000000000000000e+00,-1.324414610862731934e-01,-6.306692957878112793e-02,2.914112992584705353e-04,3.407118143513798714e-03
2.400207519531250000e-02,-6.231797160580754280e-04,0.000000000000000000e+00,-8.347233384847640991e-02,-3.842391669750213623e-01,1.037147012539207935e-04,4.261828027665615082e-03
2.600240707397460938e-02,-6.231797160580754280e-04,0.000000000000000000e+00,-8.347233384847640991e-02,-3.842391669750213623e-01,1.037147012539207935e-04,4.261828027665615082e-03
2.800250053405761719e-02,-1.102548674680292606e-03,3.451456781476736069e-03,-1.331211328506469727e-01,8.298607468605041504e-01,5.636294954456388950e-04,3.687556833028793335e-03
